,Nasdaq Traded,Symbol,Security Name,Listing Exchange,Market Category,ETF,Round Lot Size,Test Issue,Financial Status,CQS Symbol,NASDAQ Symbol,NextShares
218,Y,AEVA,"Aeva Technologies, Inc. Common Stock",N, ,N,100.0,N,,AEVA,AEVA,N
220,Y,AEY,"ADDvantage Technologies Group, Inc. - Common Stock",Q,S,N,100.0,N,D,,AEY,N
221,Y,AEYE,"AudioEye, Inc. - Common Stock",Q,S,N,100.0,N,N,,AEYE,N
222,Y,AEZS,Aeterna Zentaris Inc. - Common Stock,Q,S,N,100.0,N,N,,AEZS,N
223,Y,AFAR,Aura FAT Projects Acquisition Corp - Class A Ordinary Shares,Q,G,N,100.0,N,N,,AFAR,N
224,Y,AFARU,Aura FAT Projects Acquisition Corp - Unit,Q,G,N,100.0,N,N,,AFARU,N
225,Y,AFARW,Aura FAT Projects Acquisition Corp - Warrant,Q,G,N,100.0,N,N,,AFARW,N
226,Y,AFB,AllianceBernstein National Municipal Income Fund Inc,N, ,N,100.0,N,,AFB,AFB,N
227,Y,AFBI,"Affinity Bancshares, Inc. - Common Stock",Q,S,N,100.0,N,N,,AFBI,N
228,Y,AFCG,"AFC Gamma, Inc. - Common Stock",Q,G,N,100.0,N,N,,AFCG,N
229,Y,AFG,"American Financial Group, Inc. Common Stock",N, ,N,100.0,N,,AFG,AFG,N
230,Y,AFGB,"American Financial Group, Inc. 5.875% Subordinated Debentures due 2059",N, ,N,100.0,N,,AFGB,AFGB,N
231,Y,AFGC,"American Financial Group, Inc. 5.125% Subordinated Debentures due 2059",N, ,N,100.0,N,,AFGC,AFGC,N
232,Y,AFGD,"American Financial Group, Inc. 5.625% Subordinated Debentures due 2060",N, ,N,100.0,N,,AFGD,AFGD,N
233,Y,AFGE,"American Financial Group, Inc. 4.500% Subordinated Debentures due 2060",N, ,N,100.0,N,,AFGE,AFGE,N
234,Y,AFIB,"Acutus Medical, Inc. - Common Stock",Q,Q,N,100.0,N,D,,AFIB,N
235,Y,AFIF,Anfield Universal Fixed Income ETF,Z, ,Y,100.0,N,,AFIF,AFIF,N
236,Y,AFK,VanEck Africa Index ETF,P, ,Y,100.0,N,,AFK,AFK,N
237,Y,AFL,AFLAC Incorporated Common Stock,N, ,N,100.0,N,,AFL,AFL,N
238,Y,AFLG,First Trust Active Factor Large Cap ETF,P, ,Y,100.0,N,,AFLG,AFLG,N
239,Y,AFMC,First Trust Active Factor Mid Cap ETF,P, ,Y,100.0,N,,AFMC,AFMC,N
240,Y,AFMD,Affimed N.V. - Common Stock,Q,G,N,100.0,N,D,,AFMD,N
241,Y,AFRI,Forafric Global PLC - Ordinary Shares,Q,S,N,100.0,N,N,,AFRI,N
242,Y,AFRIW,Forafric Global PLC - Warrants,Q,S,N,100.0,N,N,,AFRIW,N
243,Y,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Q,Q,N,100.0,N,N,,AFRM,N
244,Y,AFSM,First Trust Active Factor Small Cap ETF,P, ,Y,100.0,N,,AFSM,AFSM,N
245,Y,AFT,Apollo Senior Floating Rate Fund Inc. Common Stock,N, ,N,100.0,N,,AFT,AFT,N
246,Y,AFTY,Pacer CSOP FTSE China A50 ETF,P, ,Y,100.0,N,,AFTY,AFTY,N
247,Y,AFYA,Afya Limited - Class A Common Shares,Q,Q,N,100.0,N,N,,AFYA,N
248,Y,AG,First Majestic Silver Corp. Ordinary Shares (Canada),N, ,N,100.0,N,,AG,AG,N
249,Y,AGAE,Allied Gaming & Entertainment Inc. - Common Stock,Q,S,N,100.0,N,N,,AGAE,N
250,Y,AGBA,AGBA Group Holding Limited - Ordinary Share,Q,S,N,100.0,N,N,,AGBA,N
251,Y,AGBAW,AGBA Group Holding Limited - Warrant,Q,S,N,100.0,N,N,,AGBAW,N
252,Y,AGCO,AGCO Corporation Common Stock,N, ,N,100.0,N,,AGCO,AGCO,N
253,Y,AGD,abrdn Global Dynamic Dividend Fund Common Shares of Beneficial Interest,N, ,N,100.0,N,,AGD,AGD,N
